,date,open,high,low,close,volume
NIFTY23JUL18700CE,2023-06-05 09:45:00+05:30,331.5,333,331.5,333,100
NIFTY23JUL18700PE,2023-06-05 09:45:00+05:30,257.25,257.25,252,252,1250
NIFTY23JUL18800CE,2023-06-05 09:45:00+05:30,272.95,280.25,272.95,280.25,200
NIFTY23JUL18800PE,2023-06-05 09:45:00+05:30,298,298,294,294,1000
NIFTY23JUL18900CE,2023-06-05 09:45:00+05:30,223.05,223.05,223.05,223.05,0
NIFTY23JUL18900PE,2023-06-05 09:45:00+05:30,344.9,344.9,342,342,0
NIFTY23JUL19000CE,2023-06-05 09:45:00+05:30,177.6,181,177.6,180.85,2900
NIFTY23JUL19000PE,2023-06-05 09:45:00+05:30,402,402,393.6,393.6,250
NIFTY23JUL19100CE,2023-06-05 09:45:00+05:30,137.55,141,137.55,141,400
NIFTY23JUL19100PE,2023-06-05 09:45:00+05:30,455.55,455.55,455.55,455.55,0
NIFTY23JUL19200CE,2023-06-05 09:45:00+05:30,104.9,106.5,104.9,106.5,450
NIFTY23JUL19200PE,2023-06-05 09:45:00+05:30,517.4,517.4,517.4,517.4,0
NIFTY23JUL19300CE,2023-06-05 09:45:00+05:30,78.25,80.9,78.25,80.9,1050
NIFTY23JUL19300PE,2023-06-05 09:45:00+05:30,596.4,596.4,596.4,596.4,0
NIFTY23JUL19400CE
NIFTY23JUL19400PE
NIFTY23JUL19500CE,2023-06-05 09:45:00+05:30,45.45,46.5,45.45,46.25,2450
NIFTY23JUL19500PE,2023-06-05 09:45:00+05:30,760,760,760,760,0
